ra,dec,pmra,pmdec
6.483635957986336962e+00,-7.194180446423978026e+01,5.505111843501580893e+00,-2.944866256787344039e+00
4.767736867078363971e+00,-7.203759866989692284e+01,5.401051700047474036e+00,-2.790223428957879559e+00
5.407384891397661875e+00,-7.189647250436964043e+01,5.463216692106334094e+00,-3.006791289697060332e+00
6.234218860825097686e+00,-7.194748113087047159e+01,5.580796348268022733e+00,-3.080505337349233042e+00
5.531642860510863180e+00,-7.207681900255680318e+01,5.506614232015637711e+00,-2.608774534967831293e+00
5.791615883579379620e+00,-7.204751378150268692e+01,5.991220594591757376e+00,-2.986070560262537477e+00
6.130903612396977564e+00,-7.186085360233731478e+01,5.707561434282680146e+00,-2.889576579712491267e+00
6.177146054682819631e+00,-7.200609859754995057e+01,5.137099642904620289e+00,-2.737713713299679608e+00
5.677638717073016927e+00,-7.243132981110491642e+01,5.272153948250551281e+00,-3.073343964086927116e+00
5.985218827231162386e+00,-7.201437746272230811e+01,5.733278828169568797e+00,-2.817451863275230117e+00
6.835617446275593423e+00,-7.214578479592927351e+01,5.429300322458711747e+00,-2.501243691024408911e+00
6.263754400070076223e+00,-7.197370465562742936e+01,5.776268624661758722e+00,-3.129382093771195805e+00
6.123965198172428792e+00,-7.211990010592549538e+01,5.437608612285311338e+00,-2.462841172018607416e+00
4.932465720428941047e+00,-7.195112559849015099e+01,5.369210775852372386e+00,-2.919231412015869331e+00
5.298993970338585768e+00,-7.214884868371005666e+01,5.960404684108858930e+00,-3.185132353972131902e+00
6.057928469297221064e+00,-7.214143198460079986e+01,5.499911510482593968e+00,-3.029050714471802852e+00
5.044056330358293927e+00,-7.204925097177981286e+01,5.624286944851384362e+00,-2.905751366321895013e+00
6.133423810883556371e+00,-7.186712462812292301e+01,5.264209060675696605e+00,-3.146216906762629328e+00
5.999393498503659217e+00,-7.195404265904127783e+01,5.431312390516607636e+00,-3.283496265623989441e+00
5.380491981664500933e+00,-7.215792500429681411e+01,5.512523586702249290e+00,-2.407085856786010947e+00
5.470797676026751155e+00,-7.199679612896919423e+01,5.145865449275190961e+00,-3.297997232687540414e+00
4.975629437310509218e+00,-7.234706041224676198e+01,5.652385091325673017e+00,-3.076004174136200309e+00
5.841439229859887838e+00,-7.191091327908102926e+01,5.180389265700050316e+00,-2.853806066557892596e+00
5.454194842396489662e+00,-7.167540372869648024e+01,5.731520640342349537e+00,-3.083427553858193448e+00
5.400226381342130288e+00,-7.200845127427827208e+01,5.689744392658606209e+00,-3.119305932036536610e+00
5.413806390959282844e+00,-7.203016870805922167e+01,5.612678158231475756e+00,-3.355237830326685433e+00
6.376195506334330965e+00,-7.170390398031038615e+01,5.206970546311782577e+00,-2.794164268228793713e+00
5.124915667598418878e+00,-7.207995113970883949e+01,5.197042982265188904e+00,-2.897644431607035997e+00
4.541639881003495027e+00,-7.178149213080511970e+01,5.690546333497507270e+00,-2.973788155551144285e+00
6.143872817094509386e+00,-7.219755475555923852e+01,5.867654738518926827e+00,-3.262666109756920285e+00
5.107545407649389801e+00,-7.190320153350604926e+01,5.549178863700959141e+00,-2.986019809111244427e+00
6.521890205696487364e+00,-7.207122498328313043e+01,5.408513147265392007e+00,-2.509068683719731574e+00
5.786308864128764995e+00,-7.216503800696325754e+01,5.262912384872097782e+00,-2.893429771986772980e+00
6.735987846400093737e+00,-7.206021610345831618e+01,5.783230643248966629e+00,-2.857233824484959328e+00
6.225573743369467117e+00,-7.213065241255199567e+01,5.176380098829886478e+00,-2.903954640415836508e+00
6.579812581192622467e+00,-7.199685214556743063e+01,5.571087600041480847e+00,-2.924193414013690262e+00
6.819334056080114337e+00,-7.220563860666463540e+01,5.475104359572329216e+00,-2.679214407337299875e+00
6.358666391519211203e+00,-7.194582978634639403e+01,5.315544348601846103e+00,-2.689442024565524836e+00
7.194225162670627505e+00,-7.177975848042426321e+01,5.319795662941778858e+00,-2.941914346900765587e+00
6.364066817694626010e+00,-7.185211679541441754e+01,5.215489942124072797e+00,-2.548268266545116401e+00
6.143672320163326539e+00,-7.190061311551673384e+01,5.257468019082732091e+00,-2.776254687668965104e+00
4.665324963516374268e+00,-7.207575029381882814e+01,5.654785518860728999e+00,-3.237689008429401216e+00
6.078283348891662108e+00,-7.203378892574211534e+01,5.395595487768371612e+00,-3.271546413044366552e+00
6.697832871762638085e+00,-7.243038109131447300e+01,5.490197062734855749e+00,-2.724843454034279855e+00
6.317673402194605714e+00,-7.203067538179647045e+01,5.285127791537417963e+00,-2.571130237710100630e+00
5.285820828255979542e+00,-7.203006222399224612e+01,5.282754138219798890e+00,-2.871398820272355934e+00
5.584591063361996177e+00,-7.199639378964072023e+01,5.154526706363123267e+00,-2.893546484550998166e+00
6.101416612148574892e+00,-7.212057383627556817e+01,5.448433943494883636e+00,-2.893194681944311508e+00
5.513510929869545940e+00,-7.193800935021621967e+01,5.742193569078315463e+00,-2.833924391740092474e+00
6.237847956614963607e+00,-7.172122154498812563e+01,5.361123716100968828e+00,-2.888073878034647102e+00
6.767910325085507495e+00,-7.245156324129489178e+01,5.505874982843391052e+00,-2.947222453462684300e+00
6.849838560341863669e+00,-7.210601858288011101e+01,5.667568531414108435e+00,-3.221829410143418837e+00
6.008829831313019731e+00,-7.186812994144959532e+01,5.438310711676184184e+00,-2.845596793830717175e+00
