ra,dec,pmra,pmdec
7.877353537444233211e+01,-6.903958870777505297e+01,1.551412617427234242e+00,5.471485946007168533e-01
7.861975491334553112e+01,-6.900974533510932929e+01,1.805036686245378386e+00,7.130794254754246886e-02
7.877219419580475801e+01,-6.901249539446294534e+01,2.319795486718364774e+00,8.457880027630630959e-01
7.864288837362005324e+01,-6.901400120968517626e+01,2.209118229419269941e+00,3.914631848778626910e-01
7.876086934993834632e+01,-6.904042227967651968e+01,2.274525494137391135e+00,-3.779914837072486655e-01
7.874729235609220268e+01,-6.906078573148114685e+01,2.200047610068754267e+00,2.161668413398348254e-01
7.879061848883270613e+01,-6.904726421386925495e+01,3.154677560171334605e+00,7.948995815251594932e-01
7.882405150208030875e+01,-6.909555838040554931e+01,1.786613928025860609e+00,3.029142136258139439e-01
7.879664183289260393e+01,-6.903411772953131731e+01,1.525871567220124181e+00,-6.114063250120542747e-01
7.881334134306202088e+01,-6.903326860538686560e+01,2.364999649477908861e+00,-8.959279299951672382e-02
7.876782275563299152e+01,-6.903438858852834414e+01,2.713473130840960312e+00,-2.897272811203381870e-01
7.879371497722908657e+01,-6.905137703027469342e+01,1.216310829465141019e+00,9.317613840693177440e-01
7.875044483889816149e+01,-6.898224408771173444e+01,1.790087097122596838e+00,4.892452245335466299e-01
7.881758142479871765e+01,-6.900176782766773442e+01,1.101386030900153079e+00,1.381335940633772463e-01
7.878335457231084149e+01,-6.901073370779886318e+01,1.375617527941519702e+00,9.027231835370737034e-01
7.871888121095020097e+01,-6.902404084789206706e+01,8.370098986413891939e-01,5.879898115191870001e-02
7.869615362417074778e+01,-6.901274388191610853e+01,2.975265784864488339e+00,1.769954236394720715e-01
7.875110693323166799e+01,-6.906051325878229363e+01,2.334870683536891978e+00,-6.914817974022404723e-01
7.885898523173183605e+01,-6.901697917830021822e+01,7.968220014344423729e-01,4.679940972439751157e-01
7.874834614669660482e+01,-6.905841709662684025e+01,1.468043455116844642e+00,-8.056143575428756365e-02
7.872446545398790363e+01,-6.902099299130294696e+01,8.291493953020411256e-01,6.789793003609033706e-01
7.878649075289374082e+01,-6.904904537090611427e+01,1.472393143080844347e+00,1.214229354366012092e+00
7.876074830528476411e+01,-6.905082161634678073e+01,1.759794106688691739e+00,2.216115572935809519e-01
7.885560819156533796e+01,-6.904578693845226667e+01,1.420712314061454595e+00,-1.978246686279226951e-01
7.874406362474849175e+01,-6.907305685756598734e+01,2.007060825650683444e+00,1.041852101925592411e+00
7.867578542600485036e+01,-6.904006060712377746e+01,1.457011609893971382e+00,5.995825356343407186e-01
7.888538610538907392e+01,-6.904856252256537630e+01,2.012122852709389953e+00,-2.656462922463598275e-01
7.870997089646188272e+01,-6.904269447826430905e+01,2.485629053237222053e+00,1.396829687250790153e-01
